Time,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
2.74,0.337068534267134,0,0.205139702914093,1,0,0,0
2.75,0.337568784392196,0,0.205214823686591,1,0,0,0
2.76,0.338069034517259,0,0.205290936588063,1,0,0,0
2.77,0.338569284642321,0,0.205368053032413,1,0,0,0
2.78,0.339069534767384,0,0.205446184539369,1,0,0,0
2.79,0.339569784892446,0,0.2055253427351,1,0,0,0
2.8,0.340070035017509,0,0.205605539352826,1,0,0,0
2.81,0.340570285142571,0,0.205686786233427,1,0,0,0
2.82,0.341070535267634,0,0.205769095326055,1,0,0,0
2.83,0.341570785392696,0,0.205852478688741,1,0,0,0
2.84,0.342071035517759,0,0.205936948488992,1,0,0,0
2.85,0.342571285642821,0,0.206022517004404,1,0,0,0
2.86,0.343071535767884,0,0.206109196623251,1,0,0,0
2.87,0.343571785892946,0,0.206196999845088,1,0,0,0
2.88,0.344072036018009,0,0.206285939281347,1,0,0,0
2.89,0.344572286143072,0,0.206376027655923,1,0,0,0
2.9,0.345072536268134,0,0.206467277805767,1,0,0,0
2.91,0.345572786393197,0,0.206559702681469,1,0,0,0
2.92,0.346073036518259,0,0.206653315347847,1,0,0,0
2.93,0.346573286643322,0,0.206748128984518,1,0,0,0
2.94,0.347073536768384,0,0.206844156886483,1,0,0,0
2.95,0.347573786893447,0,0.206941412464693,1,0,0,0
2.96,0.348074037018509,0,0.207039909246623,1,0,0,0
2.97,0.348574287143572,0,0.207139660876837,1,0,0,0
2.98,0.349074537268634,0,0.207240681117549,1,0,0,0
2.99,0.349574787393697,0,0.207342983849182,1,0,0,0
3,0.350075037518759,0,0.207446583070924,1,0,0,0
3.01,0.350575287643822,0,0.207551492901275,1,0,0,0
3.02,0.351075537768884,0,0.207657727578595,1,0,0,0
3.03,0.351575787893947,0,0.207765301461644,1,0,0,0
3.04,0.35207603801901,0,0.207874229030122,1,0,0,0
3.05,0.352576288144072,0,0.207984524885197,1,0,0,0
3.06,0.353076538269135,0,0.208096203750038,1,0,0,0
3.07,0.353576788394197,0,0.208209280470333,1,0,0,0
3.08,0.35407703851926,0,0.208323770014809,1,0,0,0
3.09,0.354577288644322,0,0.208439687475745,1,0,0,0
3.1,0.355077538769385,0,0.208557048069478,1,0,0,0
3.11,0.355577788894447,0,0.208675867136905,1,0,0,0
3.12,0.35607803901951,0,0.208796160143981,1,0,0,0
3.13,0.356578289144572,0,0.208917942682208,1,0,0,0
3.14,0.357078539269635,0,0.20904123046912,1,0,0,0
3.15,0.357578789394697,0,0.209166039348762,1,0,0,0
3.16,0.35807903951976,0,0.209292385292163,1,0,0,0
3.17,0.358579289644822,0,0.209420284397803,1,0,0,0
3.18,0.359079539769885,0,0.209549752892072,1,0,0,0
3.19,0.359579789894947,0,0.209680807129722,1,0,0,0
3.2,0.36008004002001,0,0.20981346359432,1,0,0,0
3.21,0.360580290145073,0,0.209947738898678,1,0,0,0
3.22,0.361080540270135,0,0.210083649785297,1,0,0,0
3.23,0.361580790395198,0,0.210221213126785,1,0,0,0
3.24,0.36208104052026,0,0.210360445926279,1,0,0,0
3.25,0.362581290645323,0,0.210501365317855,1,0,0,0
3.26,0.363081540770385,0,0.210643988566931,1,0,0,0
3.27,0.363581790895448,0,0.210788333070667,1,0,0,0
